Gene,DNAse,H3K20me3,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K9me3
ENSMUSG00000000751,327.6586489,4844.311499,2491.517449,13730.6752,20527.72097,27770.94429,71611.00958,2961.861699
ENSMUSG00000000753,168.6827021,4203.171768,12511.10777,5253.695438,8216.177346,4738.183638,9309.938573,1947.631436
ENSMUSG00000000759,176.1745138,3778.955449,11952.1762,8407.558066,6807.384296,17473.96968,100077.6875,3890.969894
ENSMUSG00000000766,72.21494371,4935.714388,3092.247354,3432.403104,1065.516018,963.9276316,2870.730978,3317.393879
ENSMUSG00000000776,355.7558854,2194.296482,4711.924628,16296.68235,12225.82301,17689.70767,86586.63487,2365.702374
ENSMUSG00000000782,608.9989765,5381.473899,13246.12865,17435.41455,18703.89109,27301.92012,48117.83724,4113.932351
ENSMUSG00000000787,200.3295803,1681.716533,1382.121854,15323.38151,11787.28404,27319.58174,84377.42549,1152.241133
ENSMUSG00000000791,415.6617195,4528.556994,15822.71038,3779.019022,16285.23634,15569.68264,23217.71096,3851.541404
ENSMUSG00000000792,602.3265097,6358.237915,27639.34969,27615.98756,17819.74078,33252.85877,72311.57866,4194.318006
ENSMUSG00000000794,271.5573183,5238.164474,23194.57723,2956.438716,8429.882866,19308.47326,32080.5123,4170.31486
ENSMUSG00000000804,110.3229273,1759.066505,2652.313501,6893.200443,2963.712243,711.041619,1829.444365,1306.566076
ENSMUSG00000000805,256.8311157,4869.950801,36405.98963,7610.445366,16461.05542,12716.14788,40016.42098,3607.193936
ENSMUSG00000000811,595.8142272,3260.379934,4875.5753,4306.887586,7083.02982,4912.154748,31558.3371,2496.614631
ENSMUSG00000000817,121.7430911,4534.219966,9016.095752,3000.203089,3398.23913,2777.552059,5374.602617,1992.728046
ENSMUSG00000000823,338.5900716,4027.05635,7096.92756,20628.59296,10154.82437,16194.99349,58903.22004,3156.925772
ENSMUSG00000000826,342.3776868,6910.485412,4625.897883,20349.9621,19679.83188,33749.41526,105202.9024,5134.835669
ENSMUSG00000000827,405.6233367,4759.683924,6590.98341,21094.31622,13615.20745,26104.85655,107172.2098,3766.566219
ENSMUSG00000000838,240.2200614,3892.106979,2473.678418,4059.395523,6128.846396,10347.80463,34022.31557,906.9310641
ENSMUSG00000000861,471.2937564,1488.201659,54788.96346,1206.596753,11880.83924,43903.47647,70679.04591,1205.930492
ENSMUSG00000000869,157.8561924,4045.692935,13642.01523,2356.544479,3687.484339,1518.810212,4718.562285,2721.174914
ENSMUSG00000000876,421.5404299,4556.757652,6536.392377,3680.410183,9049.463673,14233.91097,40024.79512,1631.893879
ENSMUSG00000000881,221.0752303,1790.828804,8627.184783,2811.622998,3092.028318,6589.895595,16709.13801,484.8389588
ENSMUSG00000000884,449.9723644,4607.193793,5560.156107,14982.48999,13539.83202,27171.78776,82049.17198,4050.933066
ENSMUSG00000000889,178.3439099,5871.786184,11136.51745,5294.480478,3683.422626,1547.001716,7082.695009,5085.539188
ENSMUSG00000000901,429.7507677,4344.523813,5014.256507,10990.07072,15675.45888,39876.09783,94368.8416,1751.728618
ENSMUSG00000000902,346.5122825,3925.531178,5492.166476,27945.18471,11543.98584,17310.28983,94210.10183,3803.715818
ENSMUSG00000000903,227.8352098,5604.155678,4144.222612,8927.791333,12709.90947,22806.41161,22250.39524,2881.735483
ENSMUSG00000000915,411.2169908,3500.411399,8177.62121,7162.298198,17441.31536,10879.56372,32708.98148,3248.28411
ENSMUSG00000000916,337.3198567,2832.75,5448.836027,12244.54205,6582.945795,16260.48527,61824.73248,2734.339817
ENSMUSG00000000934,366.5230297,3592.155392,12516.05471,5936.024385,7293.057423,20426.96332,49716.44208,5240.340532
ENSMUSG00000000938,488.0030706,2198.947154,110319.4658,2597.601259,13205.1707,15996.40439,24684.91741,3283.968035
ENSMUSG00000000942,406.2236438,3645.085741,54901.12378,4027.504577,10370.20094,9537.786756,31538.1998,2885.45409
ENSMUSG00000000948,51.20163767,3033.175057,616.5517735,25374.876,1933.710097,1135.903318,2107.616133,2487.978189
ENSMUSG00000000957,592.9421699,5049.442077,15089.0098,14009.35269,22928.61127,45360.94923,104529.5875,4100.065575
ENSMUSG00000000958,343.4242579,3536.600257,4001.689931,32087.12672,37009.84833,45933.26194,47646.85991,3631.770595
ENSMUSG00000000959,248.0742068,4395.418693,3976.55349,9803.248856,9725.562214,16433.20173,69339.25143,3358.328089
ENSMUSG00000000976,251.9964176,3879.569436,2471.044837,12042.35019,7141.996067,15952.56364,63042.81,2305.189502
ENSMUSG00000000982,118.3387922,2288.791762,4682.992348,1698.048198,975.2954805,312.6521739,2805.873141,2214.781751
ENSMUSG00000000983,142.7052201,3604.719394,4912.681422,3034.402245,1559.782323,565.2105263,3544.50901,2418.95974
ENSMUSG00000001014,413.1212897,3153.794122,18741.10119,16607.2771,32250.08481,53084.84125,109108.523,3036.394522
ENSMUSG00000001016,469.2932446,3709.997283,2011.822154,14369.05084,15077.9764,29262.91011,61683.36141,1785.917263
ENSMUSG00000001017,278.4626407,3759.872855,5762.00615,31293.47061,13199.83967,20187.90661,73343.30871,3618.885154
ENSMUSG00000001018,248.5450358,1535.89774,1668.935927,16526.24893,5836.11413,7373.072011,28109.45102,2341.164259
ENSMUSG00000001020,124.7302968,5192.454305,16252.75451,3570.616133,7943.66619,3185.867849,7682.629434,3887.55778
ENSMUSG00000001021,417.7487206,6292.03976,10409.78904,4670.44508,16070.01287,14844.00543,16328.49406,6163.89724
ENSMUSG00000001023,229.7205732,5617.307494,17492.14767,4580.973684,6996.891304,6877.872998,25456.94258,4507.668335
ENSMUSG00000001025,364.9708291,5921.579448,15070.96997,7432.113844,12151.9626,9953.898741,32439.28668,5530.847397
ENSMUSG00000001027,216.321392,4096.447154,17322.71832,2207.611842,2169.439359,1081.418478,6803.052489,3664.929419
ENSMUSG00000001029,118.0255885,4610.241848,15829.14903,3804.019165,2849.158181,1747.645523,7406.4503,6445.797769
ENSMUSG00000001034,581.7113613,3971.348613,7813.811499,19224.75458,11661.15954,15536.90074,68252.13122,3802.227474
ENSMUSG00000001036,505.642784,3399.067577,3057.616133,6715.813787,15417.06772,16183.65332,54498.75079,1362.030892
ENSMUSG00000001039,227.0895599,3489.831736,7210.700801,9583.947869,10080.37307,14543.6885,60122.33438,4030.902889
ENSMUSG00000001052,552.9314227,4921.194723,10827.61442,7307.459239,19073.43035,16268.06557,42500.70574,2699.317863
ENSMUSG00000001053,575.2425793,5491.632008,8252.666404,24487.24807,24331.76437,40332.62321,134153.8392,4007.521167
ENSMUSG00000001054,391.4027636,3613.457094,3339.549128,10831.99714,23033.33481,39795.92012,84833.44916,3473.770953
ENSMUSG00000001056,328.4411464,3956.663687,5698.460169,37230.56207,20509.05199,29489.57787,102268.9856,2814.206236
ENSMUSG00000001061,164.7006141,3280.343106,2313.516876,1688.472898,1449.24714,246.4959954,2110.161256,1511.82151
ENSMUSG00000001062,531.9247697,5134.169479,8868.538544,15211.80213,8272.608982,16654.3095,93955.70059,3861.336957
ENSMUSG00000001065,532.8382805,5133.49478,8775.101759,15588.84983,8232.746997,16608.30227,94101.70924,3969.288902
ENSMUSG00000001076,433.017912,4343.545195,45270.4124,5851.823155,16555.89316,20182.18378,43088.95116,3014.815503
ENSMUSG00000001082,449.6555783,4572.080092,4537.854405,34757.26344,22707.18214,37931.85019,71265.90239,5410.664974
ENSMUSG00000001089,570.6468782,2957.817148,3296.507723,5724.562786,25550.10834,25964.5088,63828.22755,1943.235412
ENSMUSG00000001095,249.2113613,4423.09897,12866.83638,3354.311141,21334.52288,14737.74914,16251.89717,6000.047912
ENSMUSG00000001098,565.5440123,1627.574085,5766.740561,9767.610984,11129.70609,28125.8258,73833.95616,3613.225257
ENSMUSG00000001100,331.6545548,5103.955306,2485.488201,30686.00243,16420.49385,30336.87643,84633.89023,2377.30349
ENSMUSG00000001103,125.9406346,3765.840246,13694.11206,17906.76831,8026.971753,6076.836027,12122.7357,4795.451373
ENSMUSG00000001105,318.2395087,4659.932065,4327.343535,15720.17012,16257.92627,26086.63923,123070.3922,4733.175343
ENSMUSG00000001119,184.964176,3880.470395,11537.15017,3578.409039,3747.931136,3102.665332,8942.7879,2979.472612
ENSMUSG00000001120,153.6059365,5685.965174,5685.176773,10046.31608,2115.247497,1635.063787,6543.76609,5571.88587
ENSMUSG00000001123,128.7420676,4159.294193,6358.60891,8092.519808,9184.493779,2492.084096,7176.815074,5866.450801
ENSMUSG00000001127,327.1166837,3874.377646,2519.492134,13396.21954,7376.726616,13313.64216,33424.77081,2118.722254
ENSMUSG00000001128,109.6724667,2825.369565,2143.037328,11923.31801,11004.48491,4604.831379,4181.122998,1802.092463
ENSMUSG00000001131,136.5470829,3366.614917,2477.730549,5999.004362,12977.20917,18864.53561,21606.88558,1761.970824
ENSMUSG00000001134,147.5660184,1622.641876,1189.899814,9869.769737,5154.831093,7469.112414,27213.0404,2427.694079
ENSMUSG00000001138,748.587001,2389.832451,3904.247855,11694.00973,10393.18535,24712.02231,68303.76173,3076.982265
ENSMUSG00000001143,388.6791198,3903.659396,4398.953804,11848.03862,6549.493707,12654.20867,37779.55235,2524.812643
ENSMUSG00000001150,244.2389969,4059.662686,4692.003146,19230.66533,7298.851902,14613.8494,59664.00501,1930.9375
ENSMUSG00000001151,399.0639713,3725.206307,4850.462243,17142.57616,26874.81214,40862.51638,91250.44272,3545.632509
ENSMUSG00000001155,226.3203685,3457.094823,10243.99671,3597.703304,3632.090818,3922.713601,8900.139159,3894.014946
ENSMUSG00000001156,753.5634596,6314.597969,9835.093249,14057.36957,7948.056851,14618.69794,25542.88015,3048.502074
ENSMUSG00000001157,393.2425793,4456.619065,3715.343893,5666.156035,7979.634725,15943.03919,104348.5897,2908.680206
ENSMUSG00000001158,212.3684749,3931.27746,3730.558853,16889.35491,9590.748069,26252.4385,61979.68764,3769.019236
ENSMUSG00000001166,425.7057318,2943.366347,5877.483195,1979.096324,9262.246854,9303.617062,9947.46732,1820.867992
ENSMUSG00000001168,175.2282497,2955.36506,4864.979691,1658.194222,1254.970252,1047.290904,3069.807065,4674.734625
ENSMUSG00000001173,156.7226203,1967.696796,1571.922983,4224.674414,3583.821796,3878.234268,14138.63973,1041.579376
ENSMUSG00000001175,702.6827021,5621.335097,6331.814788,19431.70216,0,23180.6624,107395.5835,3750.8371
ENSMUSG00000001211,431.1356192,4300.722254,16035.04119,8110.837314,17845.00415,17535.13616,40060.1634,2656.45595
ENSMUSG00000001225,123.6079836,3803.098255,3932.814288,3661.815646,0,1040.41905,3322.078876,1381.694651
ENSMUSG00000001227,137.1468782,0,0,0,0,0,0,0
ENSMUSG00000001228,404.9882293,4112.45216,5541.519451,17606.27689,20055.15217,29949.99678,110764.8596,2027.870995
ENSMUSG00000001229,558.482088,4061.968035,4231.497426,5488.443721,8809.175844,23085.86542,56648.73355,1950.244994
ENSMUSG00000001240,346.8306039,3300.935212,25882.30385,4012.093822,10428.02031,14215.00951,43131.62493,2799.866991
ENSMUSG00000001247,449.9744115,4431.045552,4924.506865,18089.64202,14226.18271,19380.34918,96269.28568,2891.749213
ENSMUSG00000001248,180.1171955,2305.713101,5594.416977,29020.37457,8119.880077,3920.789474,7168.307995,3198.983338
ENSMUSG00000001249,242.0230297,1721.306207,8893.265732,7161.362915,4932.443578,5650.100901,14203.21332,3975.77417
ENSMUSG00000001260,186.0895599,2809.708309,4793.87786,2246.120423,4178.304062,5279.153318,5319.988344,1382.532895
ENSMUSG00000001270,463.7190379,3780.990346,19002.68207,5207.123141,0,29468.12221,61902.32044,3293.29212
ENSMUSG00000001280,636.7543501,3637.378361,3725.415689,23377.27603,31478.84532,41144.73448,84648.8238,2061.031178
ENSMUSG00000001281,205.258956,3713.578018,5393.459883,8768.449943,31912.54941,29309.80556,23108.87028,3432.980263
ENSMUSG00000001285,256.6003071,4579.997712,4791.735984,23666.67213,10734.25207,20814.79255,75572.65089,4663.633653
ENSMUSG00000001288,356.8746162,3825.615203,8240.012514,5822.71639,26467.02782,32947.85519,53622.49814,1961.11127
ENSMUSG00000001289,253.573695,3945.754791,3521.726616,16746.28104,7957.166691,11126.62407,59316.93943,4023.630649
ENSMUSG00000001300,619.8377687,3722.673198,21802.89645,12449.06922,19736.04119,27153.60505,110849.1683,3543.054848
ENSMUSG00000001305,153.7236438,5072.186642,4517.267663,12721.85862,12337.57394,28853.37421,108384.2695,4005.722898
