Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000232952,0,0.103165675,0,0.576634273,0,0,0,0,0,0,0
ENSG00000225877,0,0.081258932,0,0,0,0,0,0,0,0,0
ENSG00000230830,0,8.906826711,0,0,0,0,0,0,0,0,0
ENSG00000196652,0,14.35973811,0,15.79397145,0,223.3050358,1036.7189,154.5066772,5.585293265,0.489616335,12.10198197
ENSG00000100568,0,60.29136586,0,4.580295618,0,129.1409422,1792.249144,0,4.051332089,0,168.0794095
ENSG00000201231,0,10.71409892,0,0,0,10.3452822,12.53701598,10.36697159,1.93995742,0,1.76E-09
ENSG00000249913,0.24849955,1.664303177,0,0.221589642,0,0,31.82810648,8.780945051,0.05158446,0,1.03E-33
ENSG00000108468,0,54.81668543,0,71.30362499,0,0,864.7451745,0,5.713572245,148.8518954,64.30772045
ENSG00000242847,0,5.842189966,0,0,0,0,0,0,0.810895404,8.978714353,2.92E-34
ENSG00000236377,0,17.79496429,0,0.04035969,1.026887554,0,0.807003158,0,1.277212859,0,1.99E-47
ENSG00000253634,0,2.136289553,0,0,0,0,0,0,0,0,0
ENSG00000248165,0,1.839344319,0,29.83425531,0,0,0,0,0.00740782,0,0
ENSG00000189132,0,0.086833317,0,0,0,0,0,0,0,0,0
ENSG00000228135,0,0.435224243,0,0.09964167,0,1.990068073,11.85547604,0,0,0,0
ENSG00000130349,0,53.46257544,111.8715533,13.04415563,0,0,900.9503986,0,0,0,316.6242527
ENSG00000113163,0,19.45849639,0,4.188793887,0.481595095,0,428.3554519,154.9223675,3.665449859,0,1159.762709
ENSG00000224855,0,0.756205995,0,0,0,0,0,0,0,0,0
ENSG00000232977,0,32.31627535,0,3.443500013,0,0,110.4581443,0,0,36.75072954,0.0003137
ENSG00000182333,0,1.317035147,0,0,0,0,0,0,0,0,0
ENSG00000155760,0,68.06727104,0,8.314443882,0,0,533.5269168,0,0,0,0
ENSG00000125266,33.05741782,246.4587707,0,5.792128365,0,0,2487.561354,0,0,0,0.127767406
ENSG00000211876,0,9.489367974,0,4.688289614,0,224.0877076,404.7267769,133.1234966,1.241191122,1.641844445,135.762402
ENSG00000235926,0,0,0,0.021229309,0,0,0,0,0.014727285,0,4.90E-19
ENSG00000227841,0,6.083160028,0,0,0,0,0,0,0,0,0
ENSG00000227666,2.025571569,4.165576178,0,39.17097022,0,0,54.31466997,0,0,602.6810646,8.58E-11
ENSG00000107404,0,342.1776275,1.550885208,10.70297472,176.859811,7.110623573,13.78326992,4.437849215,0,0.655418342,248.8897696
ENSG00000206874,0.075996337,20.60145189,28.51076408,8.543509501,164.0883762,929.2301638,1002.958809,63.85220061,0.305809466,0,172.501481
ENSG00000232415,0,44.79784414,0,4.839675547,0,0,41.27670608,0,2.910561595,0,1.86E-08
ENSG00000105829,0,16.32829257,0,4.89936118,0,0,316.7049707,450.998952,6.308714949,0,158.2136022
